dbn,name,schoolyear,fl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
01M015,P.S. 015 ROBERTO CLEMENTE,20082009,89.4,252,19.0,24.6,6.3,29.8,59.1,2.8,59.1,40.9,,,,,,,
01M019,P.S. 019 ASHER LEVY,20082009,61.5,325,8.3,21.5,12.0,25.5,45.8,9.8,48.0,52.0,,,,,,,
01M020,PS 020 ANNA SILVER,20082009,92.5,593,21.4,17.0,23.6,9.3,63.4,1.5,48.2,51.8,,,,,,,
01M034,PS 034 FRANKLIN D ROOSEVELT,20082009,77.0,424,9.0,23.1,6.6,20.5,69.6,2.1,50.5,49.5,,,,,,,
01M063,PS 063 WILLIAM MCKINLEY,20082009,63.9,199,4.0,27.6,9.5,17.1,65.3,7.0,63.8,36.2,,,,,,,
01M064,PS 064 ROBERT SIMON,20082009,79.3,300,5.0,24.3,5.7,24.0,66.7,1.7,54.0,46.0,,,,,,,
01M110,PS 110 FLORENCE NIGHTINGALE,20082009,48.6,465,5.6,18.7,13.1,15.7,53.1,14.6,48.6,51.4,,,,,,,
01M134,PS 134 HENRIETTA SZOLD,20082009,79.5,391,8.2,15.1,20.2,20.7,56.5,1.0,46.3,53.7,,,,,,,
01M137,PS 137 JOHN L BERNSTEIN,20082009,78.3,213,16.9,23.9,11.3,29.6,55.9,2.3,50.7,49.3,,,,,,,
01M140,PS 140 NATHAN STRAUS,20082009,85.9,426,13.1,22.5,5.9,16.9,74.4,1.4,54.7,45.3,,,,,,,
01M142,PS 142 AMALIA CASTRO,20082009,91.1,438,9.4,21.7,3.9,18.7,74.0,2.1,49.5,50.5,,,,,,,
01M184,PS 184M SHUANG WEN,20082009,70.6,611,6.2,5.6,82.7,4.9,3.3,7.5,52.5,47.5,,,,,,,
01M188,PS 188 THE ISLAND SCHOOL,20082009,89.6,406,15.5,22.7,1.7,31.5,66.3,0.5,45.6,54.4,,,,,,,
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,20082009,95.3,470,10.6,25.1,10.0,29.4,56.2,3.0,56.2,43.8,67.3,30.9,0.0,30.9,36.4,27.3,5.5
01M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,20082009,60.7,231,7.4,32.5,13.4,22.5,56.7,5.6,54.5,45.5,,,,,,,
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,20082009,35.0,174,5.2,16.1,9.8,19.5,24.7,29.9,52.3,47.7,,,,,,,
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,20082009,84.6,252,9.5,32.5,6.3,26.6,64.3,2.4,50.8,49.2,,,,,,,
01M345,COLLABORATIVE ACADEMY OF SCIENCE,20082009,53.5,292,3.8,22.9,15.1,18.5,62.3,3.4,50.0,50.0,,,,,,,
01M361,CHILDREN'S WORKSHOP SCHOOL,20082009,44.1,254,7.5,21.3,13.0,11.4,33.5,35.0,49.6,50.4,,,,,,,
01M363,NEIGHBORHOOD SCHOOL,20082009,30.6,298,2.3,26.5,15.1,22.1,25.5,33.2,54.0,46.0,,,,,,,
01M364,EARTH SCHOOL,20082009,38.7,341,2.6,22.3,14.1,13.5,37.5,33.1,56.6,43.4,,,,,,,
01M378,SCHOOL FOR GLOBAL LEADERS,20082009,60.0,78,10.3,23.1,9.0,30.8,55.1,5.1,47.4,52.6,,,,,,,
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,20082009,60.9,586,6.7,21.7,19.3,23.5,47.8,4.3,52.4,47.6,67.0,32.1,5.4,26.8,34.8,29.5,3.6
01M450,EAST SIDE COMMUNITY HIGH SCHOOL,20082009,67.7,546,4.9,26.7,6.2,26.6,59.7,6.0,52.2,47.8,72.5,60.0,0.0,60.0,12.5,16.3,11.3
01M509,MARTA VALLE SECONDARY SCHOOL,20082009,81.5,441,12.9,18.4,11.8,17.7,68.7,1.8,52.2,47.8,44.6,20.0,4.6,15.4,24.6,41.5,12.3
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,20082009,77.0,514,87.5,0.6,93.2,3.3,3.1,0.4,52.9,47.1,48.5,37.0,30.0,7.0,11.5,39.0,12.5
01M539,NEW EXPLORATIONS INTO SCIENCE TECH AND MATH,20082009,12.6,1302,0.2,3.8,21.8,11.2,16.6,49.4,48.0,52.0,96.7,96.7,90.0,6.7,0.0,0.0,3.3
01M650,CASCADES HIGH SCHOOL,20082009,63.8,215,6.0,5.1,4.2,33.0,56.7,5.6,34.4,65.6,41.8,14.9,0.0,14.9,26.9,46.3,10.4
01M696,BARD HIGH SCHOOL EARLY COLLEGE,20082009,17.9,575,0.0,0.5,13.2,17.7,18.8,41.6,33.0,67.0,92.3,92.3,0.0,92.3,0.0,6.8,0.9
01M839,TOMPKINS SQUARE MS EXTENSION,20082009,60.3,377,4.2,21.2,26.5,12.2,43.8,16.2,51.7,48.3,,,,,,,
